JP	KR
　最近までは長いこと戦争を経験していない国だったので、傭兵たちが相手にしてきたのは盗賊や野生の魔物だ。千人を超える規模の集団戦では、軍人より明らかに劣る。	최근까지 오랫동안 전쟁을 겪지 않은 나라였는데, 용병들이 상대하던 것은 도적이나 야생의 마물이다.천명을 넘는 규모의 집단전에서는 군인보다 분명히 떨어진다.
「本命は西門だ。人狼隊を西門に向かわせる」	"본명은 서문이다.진로오대를 서문에 가는 "
　エレオラ皇女のやり口は、だいぶ学習させてもらった。	에레 오라 왕녀의 수법은 많이 학습하였다.
　フェイントを多用しつつ、必殺の一撃を叩き込むスタイルだ。	페인트를 다용하고, 필살의 일격을 세워스타일이다.
　リューンハイトの西側には、薪などを得るための森がある。以前は骸骨兵を隠していた森だ。	류ー은 하이트의 서쪽에는 장작 등을 얻기 위한 숲이 있다.예전에는 해골 병사를 감추고 있던 숲이다.
　今は何もいないから、少数の兵力を潜ませるには十分だろう。	지금은 아무것도 없으므로 소수의 병력을 도사리기에는 충분하겠지.
　こうなると守るべきはアイリアだな。魔王様は使いっぱしりの最中だし、他に重要人物はいない。	이렇게 되면 지킬 것은 아이 코리아다.마왕님은 사는 상당하는 중이고 다른 중요 인물은 없다.
「ヴェンゲン殿、衛兵隊には旧市街の防衛をお願いする。アイリア卿の身辺警護と市民の保護を」	" 베겐전, 위병대에는 구 시가의 방어를 부탁한다.아이 코리아 추기경의 신변 경호와 시민의 보호를 "
　衛兵隊長のヴェンゲンはすぐさま起立し、敬礼した。	근위대 대장의 베겐은 곧 기립 경례했다.
「お任せください、ヴァイト卿」	" 맡기세요, 우아이토 경"
　俺は遠吠えで人狼隊を集めて、こう命令する。	나는 멀리서 잦음에서 늑대 인간들을 모아 이렇게 명령한다.
「敵は旧市街を目指してくる。密集すると撃たれるから、分隊単位で待ち伏せしろ。訓練通りだ」	" 적은 구 시가지를 목표로 한다. 밀집하면 쏜다 하기 때문에 분대 단위로 매복하다.훈련 같다"
　みんながうなずく。	모두가 고개를 끄덕였다.
　ファーンお姉ちゃん、ジェリク、モンザ、ガーニー兄弟、ハマーム、ウォッド爺さん。	팬 언니 지에릭, 몬 더, 가니 형제, 하 마ー무, 우오쯔도 영감.
　……あれ、ウォッド爺さんどこ行った？	……어라, 우오쯔도 영감 어디 갔어?
　するとウォッド爺さんが人狼に変身したまま、こちらに駆けてきた。	그러자 우오쯔도 할아버지가 늑대 인간으로 변신한 채 이쪽으로 뛰어왔다.
「遅くなってすまん。東門の監視をしとっての」	" 늦어서 미안.동문의 감시를다고는 것"
「ああ、無事ならそれでいいんだよ。心配したよ」	"아, 무사라면 그걸로 되는 거야.걱정했어"
　元傭兵の大ベテランとはいえ、歳だからな。	전 용병의 백전노장도 나이니까.
　すると白い毛を持つ歴戦の人狼は、おかしそうに笑う。	그러자 흰 털을 가진 역전의 늑대 인간은 이상하게 웃다.
「どうした、ウォッド爺さん？」	" 어떻게 한 우오쯔도 영감?"
「なに、久々の戦が嬉しいんじゃよ」	"뭐 모처럼의 전쟁이 기쁘지요 "
　人狼隊の全員が、その言葉に笑みを浮かべた。	진로오대 전원이 그 말에 미소를 띠었다.
　みんな戦うのが大好きだ。このへんの感覚は、ちょっとついていけない。	모두 싸우는 게 너무 좋다.이 정도의 감각은 좀 따라갈 수가 없다.
　ときどき、自分だけが中身は人間なのだと思い知らされる。	가끔 나만 속은 인간인 것이라고 되새기게 한다.
　だが今は、みんなの力が頼りだ。	하지만 지금은 모두의 힘이 믿는다.
　俺は人狼隊の全員に、師匠から教わったばかりの新しい魔法をかけてやる。	나는 늑대 인간대 전원에게, 스승에게서 배운 막 새로운 마법을 걸어 주다.
　以前使った「矢避け」の魔法版だ。	예전에 쓴 "화살 피한다"의 마법판이다.
「いいか、この魔法は一度だけ種類を問わずに魔法を防ぐ」	" 좋을까, 이 마법은 한번만 종류를 불문하고 마법을 막기"
「魔法を防ぐ魔法ってどういうことだ、兄ちゃん？」	"마법을 막기 마법?무슨 일이에요, 오빠?"
「あれだろ、魔法で魔法がかからなくなって魔法が……」	"그거구나, 마법에서 마법이 걸리지 않게 되고 마법이..."
　早くもガーニー兄弟が混乱しているので、俺はもう少し説明のランクを下げた。	벌써 가니 형제가 혼란스러웠던 것이고, 난 좀 더 설명의 등급을 내렸다.
「敵の武器は魔法の矢をぶっ放す飛び道具だが、俺が一発だけ防げるようにしてやる。二発目をくらう前に離脱しろ、いいな？」	"적의 무기는 마법의 화살을 내쏘다 총이지만 내가 한개만 막게 하다.두발째를 맞기 전에 이탈하고 좋은?"
「おう！」	"오!"
「すげえな、それ五回ぐらいかけてくれよ！」	"굉장하군, 그 다섯번 정도 걸어 주어!"
　何度かけても一発しか防げないよ。	몇번 걸어도 한발밖에 막지 않아.
　全員に無事にかけ終わったところで、俺はみんなと共に新市街へと飛び出す。	전원에 무사히까지 끝난 곳에서 나는 친구들과 함께 새 시가로 뛰어나가다.
「そういや今日のヴァイト係は、どこの分隊だ？」	"그런 오늘의 우아이토 관계는 어느 분대?"
「あたしんとこ」	"나의 집"
　ジェリクの問いに、モンザが挙手して笑う。	지에릭의 물음에 몬 더가 거수한다.
　単独でエレオラ皇女のとこまで行きたかったんだが、まあいいか。	단독 에레오란 왕녀의 데까지 가고 싶었는데, 뭐 됐어?
「よし、モンザ隊は俺に続け！　各隊散開しろ！」	"그래, 몬 더대는 내게 계속!각대 산개하라!"
　俺の命令で、モンザ隊を除く人狼隊十三個分隊五十二人が散っていく。	나의 명령으로 몬 더대를 제외한 늑대 인간대 열 세개 분대 오십 두 사람이 지는.
　これで新市街の西側は完全に人狼の狩り場だな。	이로써 새 시가의 서쪽은 완전히 진로오의 수리장다.
　新市街は人と魔族が暮らす新しい街だが、同時に旧市街を守るための防衛施設でもある。	새 시가는 사람과 마족이 사는 새로운 거리이지만 동시에 구 시가지를 지키기 위한 방어 시설이기도 하다.
　旧市街の城門に至る道の各所には、待ち伏せに適した曲がり角や櫓やぐらを設けているのだ。	옛 시가의 성문에 이르는 길 곳 곳에는 매복에 적합한 모퉁이와 노 망대를 마련하고 있는 것이다.
　敵の目的が旧市街への突入であるなら、血に飢えた人狼と世紀末モヒカンだらけの待ち伏せロードを突破する必要がある。	적의 목적이 옛 시가에 돌입이라면 피에 굶주린 늑대 인간과 세기 말 모히칸 투성이의 매복 로드를 돌파할 필요가 있다.
　すでにベルーザ陸戦隊が各地で激しい戦闘を展開していて、敵の侵入を遅らせていた。	이미 벨ー자 육 전대가 각지에서 치열한 전투를 펼치고 있고, 적의 침입을 늦추고 있었다.
　火力では魔撃大隊のほうが上だろうが、ベルーザ陸戦隊は五百人以上いる。後退しながら敵を待ち伏せポイントに引っ張り込む戦術は、今のところうまくいっているようだった。	화력에서는 마귀 공격 대대가 훨씬 낫겠지만 벨ー자 육전대는 5백명 이상 있다.후퇴하면서 적을 매복 포인트에 끌어들이다 전술은 지금으로서는 잘되어 가는 듯했다.
　俺はモンザ隊に護衛されながら、主戦場を迂回して西の外門を目指す。西の森にエレオラ皇女が潜んでいるというのが、俺の予想である。	나는 몬 더대의 호위를 받으며, 주전장을 우회하고 서쪽 토몽을 목표로 한다.서쪽 숲에 에레오라 아들이 숨어 있다는 게 내 예상이다.
　そのとき少し離れた曲がり角から、不意に敵の集団が現れた。	그때 조금 떨어진 길 모퉁이에서 갑자기 적의 집단이 나타났다.
「あっ!?」	"아!?"
　魔撃杖を構えた敵歩兵たちが、俺たちを見て慌てた声をあげる。どうやらあちらも主戦場を迂回して、旧市街への内門を目指していたらしい。	마격 지팡이를 둔 적 보병들이 우리를 보고당황한 목소리를 내는.아무래도 저쪽도 주전장을 우회하고 옛 시가에 대한 우치 카도를 목표로 하고 있었다.
　こちらは敵より早く接近に気づいていたが、距離がある。	이쪽은 적보다 빨리 접근을 눈치채고 있었지만, 거리가 있다.
「とっつげきぃ！」	" 있는 츠게 듣는다!"
　モンザが叫ぶ。一発もらうのは覚悟の上で敵を殲せん滅めつする気らしい。	몬 더가 외치는 소리.한방기를 무릅쓰고 적을 젠 섬멸하거니 생각 같다.
　俺も走り出したが、敵は素早く展開した。回避する場所を潰すように、広い範囲に斉射してくる。	나도 달렸지만 적은 재빨리 펼쳤다.회피하는 장소를 쓸게, 넓은 범위에 일제 사격. 한다.
　さすがに避けきれず、先行していた俺とモンザが仲良く一発ずつもらう。	역시 피하지 못하고 무성하던 내가 몬 더가 사이좋게 한발씩 받는다.
　だが二度目はないぞ。	하지만 두번째는 말거라.
　魔撃杖は銃と同じだ。銃口が向いている方向にしか攻撃できない。	마격 지팡이는 총과 같다.총구가 향하고 있는 방향으로 공격할 수 없다.
　敵はしゃがみ撃ちの前列と、立ち撃ちの後列に分かれている。今撃ってきたのは後列だ。彼らは魔力の装塡作業に入っている。	적은 웅크린 놀이의 앞과 서서 놀이의 뒷줄에 나뉘어 있다.지금 쏘고 온 것은 뒷줄이다.그들은 마법의 장전 작업에 들어갔다.
　前列の敵はまだ射撃姿勢だが、魔法で加速された俺の動きを捕捉できていない。俺が不規則蛇行で走っているので、魔撃杖の銃口は全て俺から外れていた。	앞줄의 적은 아직 사격 자세이지만 마법으로 가속된 나의 움직임을 포착하지 않았다.내가 불규칙 사행에서 달리는 열차로 마격 지팡이의 총구는 모두 내가 벗어나고 있었다.
　だが彼らの半数は俺ではなく、その後ろのモンザを狙っていた。	그러나 그들의 절반은 내가 아니라 그 뒤의 먼 자를 노렸다.
　まずい。	난감하군.
　彼女は俺ほど素早く動けない。	그녀는 나만큼 빠르게 움직일 수 없다.
　モンザにかけた魔法避けの呪文は、もう効果が切れている。	몬 더에 걸친 마법 가리개 주문은 이미 효과가 떨어졌다.
　魔撃杖の銃口から魔力が溢れてくるのが見えた。	마격 지팡이의 총구에서 마력이 넘쳐나는 것이 보였다.
　あれに当たればモンザは死ぬ。	그것에 맞으면 먼 더는 죽는다.
　魔法でも直接攻撃でも、敵の後列を殲滅するのは間に合わない。	마법이라도 직접 공격에서도 적의 뒤쪽을 섬멸하는 것은 늦어지다.
「モンザ！」	" 몬 더!"
　俺は叫びながら、とっさにモンザをかばった。	나는 외치며 엉겁결에 몬 자를 감쌌다.
「ひゃっ!?」	"백화!?"
　彼女が変な悲鳴をあげて立ち止まるのと、魔撃杖が発射されるのがほぼ同時。	그녀가 이상한 비명을 질러서 멈춘 것과 마격 지팡이가 발사되는 것이 거의 동시.
　回避は間に合わず、俺は魔撃杖から放たれた光弾の直撃を受ける。	회피는 맞추지 못하고, 나는 마격 지팡이에서 발사된 광탄의 직격탄을 받는다.
　やられたか。	당했다?
　だが俺には、緊急用の高速治癒の魔法がかけてある。	그렇지만, 긴급용 고속 치유의 마법을 걸고 있다.
　死ななければ何とか……と思ったのだが、そもそも全く傷を負ってないな。	죽지 않으면 뭔가……라고 생각한 것이지만 애당초 전혀 상처를 못 입었네.
「あれ？」	"어라?"
　びっくりしたのか人間に戻っているモンザを抱き抱えたまま、俺は背後の敵を振り返る。	놀랐는지 인간으로 돌아가지 몬 자를 껴안은 채 나는 배후의 적을 돌아본다.
　不発だったのか？	불발이었다?
　そう思う暇もなく、次々に魔撃杖から光弾が放たれた。	그렇게 생각할 틈도 없이 속속 마격 지팡이에서 광탄이 터졌다.
　光の速度で撃ち出される魔法の弾丸は、さすがに俺でも避けられない。	빛의 속도로 쏘다 나오는 마법의 탄환은 역시 나도 불가피하다.
　だがやはり、俺は無傷だった。	그러나 역시 나는 멀쩡했다.
　無傷というか、さっきより魔力が回復している。	무사라고 할까, 아까보다 마력이 회복하고 있다.
　五十六人分の強化魔法は疲労感が凄かったのだが、今の俺には魔力が満ちていた。	이소로쿠인분의 강화 마법은 피로감이 대단했던 것이 지금 나는 마력이 넘쳤다.
　理由がさっぱりわからないが、魔術師として断言できることはひとつ。	이유가 전혀 모르지만 마술사로 단언하기는 하나.
　魔撃杖の攻撃を受けると、俺は魔力を吸収する。	마격 지팡이의 공격을 받으면 나는 마력을 흡수한다.
「全員下がれ！　ここは俺がやる！」	"모두 떨어질!여기는 내가 주겠어!"
　俺はモンザ隊の分隊員に命令して、モンザを預ける。	나는 몬 더대의 분대원들에게 명령하고, 몬 자를 맡긴다.
　魔族において、強者の命令は絶対だ。人狼たちは不安そうな表情を浮かべたが、俺の命令に即座に従った。	마족의 강자의 명령은 절대적이다.늑대 인간들은 불안스러운 표정을 지었지만 나의 명령에 즉각 따랐다.
　俺は前方の敵をにらむ。立て膝で射撃姿勢をとっている前列五人と、立ったまま魔撃杖を構えている後列五人の合計十人の分隊だ。	나는 전방의 적을 노려보다.립테슬에서 사격 자세를 취하고 있는 전열 다섯명으로 선 채 마격 지팡이를 둔 뒷줄 다섯명의 합계 열명의 분대이다.
「分隊長、あいつら魔撃杖が効きません！」	"분대장, 저놈들 마격 지팡이가 듣지 않습니다!"
「ひるむな、生きているなら必ず殺せる！　斉射でしとめるぞ！」	"기가 꺾인, 살아 있다면 반드시 죽일 수 있어 일제 사격.로 잡아내겠다!"
　彼らの声を聞きながら、俺は少し考える。	그들의 목소리를 들으며 나는 조금 생각한다.
　そういえば「人狼斬り」の大剣を壊したときも、似たような感覚があったな。	그러고 보니"늑대 인간을 베어 죽이는 "의 대검을 깼을 때도 비슷한 감각이 있었구나.
　もしかして俺、師匠と同じように魔力を吸収できる体質になっているんじゃないだろうか。あのときの儀式の影響か。	혹시 내 스승과 마찬가지로 마력을 흡수할 수 있는 체질이 되는 거 아닐까.그때 의식의 영향?
　これはなかなか興味深い。帰ったら幾つか実験をして、レポートにまとめて師匠に提出しよう。	이것은 꽤 흥미롭다.돌아가면 몇가지 실험을 하고 리포트로 정리해서 스승에 제출한다.
　などと考えていたら、また撃たれた。	등이라고 생각하고 있으면 또 맞았다.
「撃て！」	" 쏜다!"
　パパパッと光がほとばしり、俺に命中する。	들어 빛이 솟구치는 나에게 명중하다.
　うん、魔力が回復してる。	응, 마력이 회복된다.
　あー、これ結構効くな。逆の意味で。	아, 이거 꽤 좋군.반대의 의미에서다.
　脅威の新兵器だった魔撃杖は、どうやら俺には効かないどころか、魔力の回復源にしかならないようだ。	위협의 신무기였다 마격 지팡이는 아마도 나에게는 듣지는 못할망정 마력의 회복원밖에 되지 않는 모양이다.
　あんなに怖がっていたのが何だかおかしくなり、俺は思わず笑いながら、のしのしと彼らに近づいていく。	그렇게 무서워하던 것이 왠지 이상하고 나는 무심코 웃으면서 엉큼성큼 그들에게 다가간다.
「た、隊長！　あいつが！」	" 대장!저 녀석이!"
「後列は射撃を続行！　前列抜剣しろ！」	"뒷줄은 사격을 속행!앞줄 발검하라!"
　あ、待て待て。	아, 기다리다 기다리다.
　魔法攻撃は俺には効かないようだが、剣で斬られると痛い。	마법 공격은 나에게는 듣지 않는 것 같은데 칼로 베면 아프다.
　俺は間合いを詰め、前列の五人を一気に片づけることにする。	나는 틈을 채우고 앞줄의 다섯 사람을 한꺼번에 정리하기로 한다.
「こっ、この化け物め！」	"좀, 이 괴물 녀석!"
「うわああぁ！」	"우와 아!"
　小剣を抜いた魔撃大隊の兵士たちだったが、剣の扱いは不慣れらしい。リューンハイト衛兵隊の稲妻のような太刀筋とは比較にならない。	쇼켄을 뺀 마격 대대의 병사들이었지만 칼의 취급은 낯선 것 같다.류ー은 하이트 위병대의 번개 같은 칼 솜씨와는 비교가 안 된다.
　人狼の持つ狼の動体視力の前では、ゆるゆると小剣が迫ってくるだけだ。	늑대 인간이 가진 늑대의 동체 시력의 앞에서는 천천히 쇼켄이 다가올 뿐이다.
　殺さないよう慎重に手加減をしたジャブを当てて、五人を立て続けに倒す。	죽이지 않도록 조심스럽게 손을 조절한 잽을 맞추어 다섯명을 단박에 쓰러뜨리다.
　ばしばしと魔撃杖で撃たれながら、俺は残り五人も順番に気絶させた。骨にヒビぐらいは入っただろうが、全部終わったら治してやろう。	면 잠시와 마격 지팡이로 맞으면서도 나는 나머지 다섯명도 차례로 기절시켰다.뼈에 금쯤은 들었겠지만 다 끝나면 고치다.
「終わったぞ。拘束してくれ」	" 끝났어.구속하는 "
　俺がそう言うと、モンザたちが駆け寄ってくる。	내가 그렇게 말하면, 몬 더들이 달려간다.
「ふえー……隊長、すっごいねえ。びっくりした」	"후에-……대장, 많이요.깜짝 놀랐다"
「いや、俺もだよ」	"아니, 나도 그래"
「あは、そうなの？」	"그거, 정말이야?"
　モンザが笑いながら、倒れた敵兵をロープで手際よく縛り上げていく。	몬 더가 웃으며 쓰러진 적병을 로프로 솜씨 좋게 묶어 놓고 간다.
　彼女は俺を見上げると、ちょっと照れたように笑ってみせた。	그녀는 나를 보니 좀 수줍은 듯 웃어 보였다.
「守ってくれてありがと、隊長。足引っ張っちゃってごめんね」	" 지키고 줘서 잘 읽었어 대장.다리 잡어서 미안"
「なんで謝るんだよ。お前を守るのは当たり前だろ」	"왜 사과 거야.너를 지키는 것은 당연하잖아"
「えへへ、そう？」	"에헤에, 그래?"
　余裕の笑みだった。怖い目に遭ったというのに、さすがモンザだ。	여유의 미소였다.무서운 꼴을 당했다는 것에, 과연 몬 더이다.
「その様子なら、こいつらを任せていいか？」	"그 모습이라면, 이 녀석들을 맡겨도 된다?"
「えっ、いや、ダメだよ隊長!?　ファーンに怒られ……」	"어, 아니, 안 되야 대장!?팬에게 혼 났다……"
　モンザが珍しく慌てた顔をするが、俺は知らん顔で手を振る。	몬 더가 드물게 당황한 얼굴을 하지만, 난 모르는 얼굴로 손을 흔든다.
「そいつらは情報収集と交渉に使う。殺すなよ？」	"그 녀석들은 정보 수집과 협상에 사용한다.죽이지 말라?"
　俺は返事も聞かずに走り出した。	나는 대답도 듣지 않고 달리기 시작했다.
　よし、自由の身だ。	좋아, 자유의 몸이다.
　　　　＊　　　　　　＊	＊ ＊
「ロルムンド軍の誤算」	"롤뭉도군의 오산"
　リューンハイトの西側新市街では、ロルムンド兵たちが地獄を見ていた。	류ー은 하이트의 서쪽 신시가에서는 롤뭉도병들이 지옥을 보고 있었다.
「シューキンがやられた！　レコイ、援護に回れ！」	"슈 김이 당했다!레코이, 엄호에 돌자!"
「くそっ、また人狼だ！」	" 빌어먹을, 또 늑대 인간이다!"
「あいつら、魔撃杖が効きません！　それにもう魔力が！」	"저놈들, 마격 지팡이가 듣지 않습니다!그리고 이제 마력이!"
　建築中の家屋に立てこもっているのは、第二〇九近衛魔撃大隊所属の第二重狙撃小隊だ。二十人の精鋭は、もう半分に減っている。	건축 중인 가옥에 남아 있는 것은 둘째 〇구 근위광 공격 대대 소속 이중 저격 소대이다.스무명의 정예는 이미 절반으로 줄었다.
　窓から後方を警戒していたナタリア四等士官が、小隊長に向かって叫ぶ。	창문에서 후방을 경계하던 나타리아 네등 장교가 소대장을 향해서 외친다.
「人間の兵です！　数は不明！」	"인간의 병입니다. 수는 불명!"
「そちらに射手を回せん！　拡散射撃で防」	"그쪽에 사수를 돌릴 수 있어!확산 사격으로 예방"
　小隊長の声が唐突に途切れた。	소대장의 목소리가 당돌하게 끊겼다.
　代わりにドサリという音が聞こえてくる。	대신에 쿵 하고 소리가 들린다.
　二匹の人狼が天井から襲いかかってきたのだと気づいたロルムンド兵たちは、慌てて魔撃杖を屋内に構え直す。	두마리의 늑대 인간이 천장에서 덮친 것이라고 깨달았다 롤뭉도병들은 황급히 마격 지팡이를 실내에 있는다.
「遅えよ」	" 늦었다."
「兄ちゃん、そっちに一人いるぞ」	"오빠, 거기에 혼자 있을 거야"
　人間の言葉でそう言っているのが聞こえた気がしたが、屋内は一瞬で惨劇の舞台に変わった。	인간의 말로 그렇게 말하고 있는 것이 들린 생각이 들었지만 실내는 순식간에 참극의 무대로 바뀌었다.
「うわああぁ！」	"우와 아!"
「もうダメだ、逃げろ！」	"이제 안 되고 달아났다!"
　何人が倒されたのか。何人が逃げ出せたのか。	몇명이 쓰러졌는가.몇명이 도망 갔는가.
　ナタリアには、もうわからなかった。	나타리아는 이제 몰랐다.
　魔撃杖を担ぎ、路上に飛び出す。	마격 지팡이를 메고 노상으로 뛰어나가다.
「ヒャハァ！　女だ！」	"햐하아!여자다!"
「おい、殺すな！　捕まえろ！」	"야, 죽이지 말라! 잡아!"
「武器に用心しろ！　じわじわ追いつめるんだ！」	"무기에 조심하자 서서히 몰아!"
　凶悪な人相の大男たちが叫んでいる。	흉악한 인상의 인물들이 외치고 있다.
「このっ！」	"이!"
　声のする方向に狙いを定めようとしたとき、民家の壁が崩れて二匹の人狼が現れた。真っ赤な体毛を持つ、血塗れの人狼だ。	목소리가 나는 쪽으로 겨냥하라고 했을 때 민가의 벽이 무너지고 두마리의 늑대 인간이 나타났다.빨간 체모를 갖고 피투성이의 늑대 인간이다.
「ひっ!?」	" 걸리죠?"
　ナタリアは人狼に背を向け、駆け出す。	나타리아는 늑대 인간을 외면하고 뛰어나가다.
「はっ、はぁっ、はあ、はぁっ……」	"예, 하악, 하아, 하악……"
　息が苦しい。こんなことなら、基礎訓練をもっときちんと受けておけば良かったと思う。	숨차다.이런 것이라면 기초 훈련을 더 제대로 받아 두었으면 좋겠어.
　高魔力と集中力を評価され、重狙撃小隊に配属されてからは、体力づくりが疎かになっていた気がする。	고 마력과 집중력을 평가 받아 중 저격 소대에 배속된 이후 몸 만들기가 소홀히 된 느낌.
　帰国したら、もう少し鍛え直さなければ。	돌아가면 좀 더 단에직사야.
　もし帰国できればの話だが。	만약 귀국하면 말이다.
　リューンハイトの街の中は、ひどく静かだ。ときおり狼の遠吠えが聞こえるが、それ以外に戦闘を感じさせる物音はしない。	류ー은 하이트 거리의 안은 몹시 조용하다.가끔 늑대의 뒤에서 하는 비난이 들리지만, 그것 이외에 전투를 느끼게 하는 소리는 하지 않는다.
　どうやらナタリアは夢中で走っているうちに、戦闘区域から外れてしまったらしい。懲罰モノだ。	아무래도 나타리아는 정신 없이 달리다 보면 전투 구역에서 벗어나고 말았다는군.징벌 것이다.
　だが今この瞬間を生き延びられるのなら、もう何でもよかった。	하지만 지금 이 순간을 살아 있다면 이제 무엇이든 좋았다.
　ナタリアは息を整え、重狙撃小隊用の長い魔撃杖を本当に杖にしてすがった。これも懲罰モノだ。	나타리아는 숨을 고른 중저격 소대용 긴 마격 지팡이를 정말 지팡이에 매달렸다.이것도 징벌 것이다.
　第二小隊は壊滅しただろう。他の小隊は無事なのだろうか。	두번째 소대는 괴멸했을 것이다.다른 소대는 무사할까.
　通信用の指輪は小隊長しか持っていないので、ナタリアにはわからない。	통신용 반지는 소대장밖에 갖고 있지 않아서, 나타리아는 모른다.
　少し落ち着いたところで、ナタリアは痛みにうめいた。	조금 차분한 곳에서 나타리아는 아픔에 외쳤다.
「う……痛……」	"우……통증……"
　脱出したときにあちこちぶつけたらしく、肩と足が痛い。魔撃杖の連射で、体力も魔力も消耗しきっている。	탈출했을 때 여기저기 부딪힌 듯 어깨와 다리가 아프다.마격 지팡이의 연속 사격에서 체력도 마력도 소모되지.
　とりあえず休もうと思ったとき、路地の向こうから若い男が一人現れる。服装と穏やかな顔つきを見る限り、ただの市民のようだ。	일단 쉬고 생각했을 때, 골목 저편에서 젊은 남자가 한명 나타난다.복장과 온화한 얼굴을 보면 그냥 시민 같다.
　若い男は気さくな口調で、笑みを浮かべた。	젊은 남자는 소탈한 어조로 미소를 지었다.
「どうした？」	"왜 그래?"
　ナタリアは申し訳ない気持ちで、彼に返事をする。	나타리아는 죄송스런마음에 그에게 대답을 하다.
「すみません、危害は加えませんので、どこか休める場所を……」	" 죄송합니다, 위해는 가하지 않아서, 어딘가 쉴 곳을……."
　そのとき、ナタリアはハッと気づく。	그때 나타리아는 번쩍 깨닫는다.
　おかしい。	이상하네.
　市民なら、戦闘を避けて避難するのでは？	시민이라면, 전투를 피하고 나갈 것은?
　ナタリアはとっさに魔撃杖を構えた。そして叫ぶ。	나타리아는 엉겁결에 마격 지팡이를 차렸다.그리고 외친다.
「と、止まって！　あなたは本当に人間ですか!?」	"과 멈추고!당신은 정말 인간인가요?"
「いいや？」	"아니?"
　その瞬間、男が変身した。	그 순간 남자가 변신했다.
　黒い人狼だ。	검은 늑대 인간이다.
「きゃああああぁ!?」	"야호 아 아!?"
　思わず撃った。	무심코 쏘았다.
　黒い人狼は放たれた光弾を避けようともしなかった。直撃だ。	검은 늑대 인간은 해방된 광탄을 피하려고도 하지 않았다.직격탄이다.
　それなのに倒れない。どこも傷つかない。	그런데도 쓰러지지 않는다.어디도 다치지 않는다.
「ひっ!?　うわぁっ！」	" 걸린다!?우와!"
　もう一発。二発。三発。	한대.두발.세대.
　内門破壊用に大量の魔力を充塡しておいた魔撃杖から、高威力の光弾が放たれる。	네이먼 파괴용으로 대량의 마력을 충전했던 마격 지팡이에서 고 위력의 광탄이 띄운다.
　なのに倒れない。	것에 넘어지지 않는다.
　やがて魔撃杖の魔力が尽きた。そしてナタリア自身には、もう魔力が残っていない。	이윽고 마격 지팡이의 마력이 떨어졌다.그리고 나타리아 자신이 이제 마력이 남지 않는다.
　黒い人狼はゆっくりと歩いてくる。	검은 늑대 인간은 천천히 걸어오다.
「どうした？」	"왜 그래?"
　さっきと同じ口調だったが、ナタリアの理性はその一言で決壊した。	아까와 같은 어조였지만, 나타리아의 이성은 그 한마디로 무너졌다.
「うわああああぁ！」	"우와 아 아!"
　魔撃杖を両手で握り、長大なそれで殴りかかる。	마격 지팡이를 양손으로 잡고 장대한 그래서 주먹을 휘둘러.
　だが簡単に受け止められ、人狼の凶悪な牙が近づいてきた。	하지만 쉽게 받아들여지면서 늑대 인간의 흉악한 송곳니가 다가왔다.
　もうダメだ。勝てる相手じゃない。	이제 안 된다.이기는 사람이 아니다.
　ナタリアは腰の小剣を抜くと、ロルムンドの軍規通りにそれで自分の喉を刺し貫こうとした。	나타리아는 허리 쇼켄을 거르면 롤뭉도의 군기대로 그래서 자신의 목을 꿰뚫다로 했다.
　その瞬間、ひどく慌てた声が聞こえる。	그 순간 몹시 당황한 목소리가 들린다.
「うわぁ!?　待て、こらやめろバカ！」	"우와!? 기다린다, 여기 그만두고 바보!"
　肩をつかまれたと思った瞬間、急に手足が動かなくなった。ナタリアはその場に倒れ伏す。	어깨를 잡혔다고 생각한 순간, 갑자기 손발이 움직이지 않게 됬다.나타리아는 그 자리에 쓰러져서 엎드린다.
　魔法を使われたのだと気づいたときには、全身の筋肉が弛緩してしまっていた。	마법을 사용한 것이라고 알아차렸을 때는 전신의 근육이 이완되어 버렸다.
「たす……ひめさ……ま……」	" 더한다……아가씨 말야...뭐……"
　叫ぼうとしたナタリアの意識が、すうっと遠くなる。	외친 나타리아의 의식이 사르르 멀어진다.
　闇に包まれていく世界の中で、さっきの声が聞こえてくる。	어둠이 깔리는 세계 속에서 아까의 목소리가 들린다.
「ふふ、心配するな。お前の大事なお姫様には後で会わせてやる」	"후후, 걱정 마라.너의 소중한 공주가 나중에 만나게 하고"
　絶望の中、ナタリアは意識を失った。	절망 속, 나타리아는 의식을 잃었다.
　一方その頃。	한편 그 무렵.
　リューンハイト東門に接近しつつあった傭兵隊は、足取りが重かった。	류ー은 하이트 동문으로 접근하고 있던 용병대는 발걸음이 무거웠다.
　危険な攻城戦だというのに、市内での略奪が許可されていないのだ。	위험한 공성전인데, 시내 약탈이 허용되지 않는 것이다.
　やってられない。	못 해먹겠다.
　それでも支払われた報酬に対しては、十分な働きをしなくてはいけない。信用の問題になる。	그래도 받은 보수에 대해서는 충분한 기능을 하지 않으면 안 된다.신용의 문제가 된다.
　若い傭兵が抜き身の剣を手に、小さく溜息をつく。	젊은 용병이 칼의 검을 손에 작은 한숨을 쉬다.
「魔都に攻め込むなんて怖いなあ……」	"마도에 파고들다니 무섭군……"
　すると古参の傭兵がクロスボウに太矢を装塡しながら、豪快に笑い飛ばした。	한다고 고참 용병들이 석궁에 태시을 장전하며 호쾌하게 웃어넘겼다.
