KR	JP
(남자. 아무튼 남자를 노엘에게 소개해서――아아, 안 돼. 잘 풀릴 것 같지가않아. 젠장! 난 어쩌면 되는 거야!)	（男。とにかく男をノエルに紹介して──あぁ、駄目だ。うまくいくように思えない。くそっ！　私はどうすればいいのよ！）
◇	　　　◇
그곳은 드루이유 가문의 저택이었다.	　そこはドルイユ家の屋敷だった。
초대받은 건 로이크다.	　招かれたのはロイクだ。
표정이 딱딱한 페르난과 이야기하고 있다.	　表情の硬いフェルナンと話をしている。
「――라우르트 가문을 의장대리의 자리에서 실각시킨다는 건가. 로이크 군도과격하구나」	「──ラウルト家を議長代理の椅子から追い落とす、か。ロイク君も過激だね」
「그런가요?」	「そうですか？」
로이크는 냉정하게 노엘을 손에 넣기 위한 수단을 생각하고 있었다.	　ロイクは冷静にノエルを手に入れるための手段を考えていた。
그 과정에 방해가 될 것 같은 사람이 있다.	　その際、邪魔になりそうな者がいる。
알베르크가 아닌 루이제다.	　アルベルクではなく、ルイーゼだ。
루이제는 종종 노엘을 괴롭혔는데, 그 탓에 건드리지 못한 때가 많다.	　ルイーゼはよくノエルに絡んでいたが、そのせいで手出しが出来なかったことが多い。
게다가, 아버지를 설득하기 위해서도 라우르트 가문이 의장대리로 있어서는곤란하다.	　それに、父を説得するためにもラウルト家には議長代理でいられては困る。
페르난은 날카로운 시선을 향해온다.	　フェルナンは鋭い視線を向けてくる。
「드루이유 가문은 라우르트 가문에게 은혜가 있어. 내가 젊은 나이에 당주의지위를 상속받았을 때, 알베르크 공이 뒷배가 되어줬어」	「ドルイユ家はラウルト家に恩がある。私が若くして当主の地位を継いだ際には、アルベルク殿が後ろ盾になってくれた」
「알고 있어요. 분명, 선선대의 시절에는 관계가 깊었다고」	「知っていますよ。確か、先々代の頃には繋がりが強かったとか」
「알고 있어서 다행이네」	「分かってくれて何よりだ」
육대 귀족은 혈연관계도 진하다.	　六大貴族は血の繋がりも濃い。
육대 귀족에게 어울리는 건 육대 귀족, 이라는 것이다.	　六大貴族に相応しいのは六大貴族、ということだ。
하지만, 그 때문에 피가 너무 가까워지고 말았다.	　ただ、そのために血が近くなりすぎてしまった。
페르난에게 루이제가 시집가지 않은 것도, 그것이 큰 이유다.	　フェルナンにルイーゼが嫁がなかったのも、それが大きな理由だ。
유그는 이복동생으로, 어머니의 혈연이 멀기에 약혼이 성립되었다.	　ユーグは腹違いの弟で、母親の血が遠いので婚約が成立した。
처음부터 페르난이 드루이유 가문의 당주로 지명받았으며, 유그도 그걸 받아들이고 있었기에 형제 사이가 좋았던 것이다.	　最初からフェルナンがドルイユ家の当主に指名されており、ユーグもそれを受け入れていたので兄弟仲が良かったのだ。
단, 그 관계라는 것도 대를 거듭할 때마다 바뀌었다.	　ただ、この繋がりというのも代を重ねると変わってくる。
실제로, 드루이유 가문은 상당히 전에 라우르트 가문과 다툰 시기가 있고, 발리에르 가문과 라우르트 가문의 관계가 깊었던 시기도 있다.	　実際に、ドルイユ家は随分前にラウルト家と争っていた時期があるし、バリエル家とラウルト家の繋がりが強かった時期もある。
시대에 따라 관계도 제각각이다.	　時代によって関係は様々だ。
페르난이 알베르크에게 은혜가 있는 건 로이크도 알고 있었다.	　フェルナンがアルベルクに恩があるのは、ロイクも知っていた。
그리고, 페르난의 성격도 잘 알고 있다.	　そして、フェルナンの性格も良く理解している。
(온화해 보이지만, 이 사람이 공화국에 대한 애국심이 가장 강해)	（温和そうに見えて、この人が一番共和国に対して愛国心が強い）
「은혜가 있다는 걸 알고 말을 걸었습니다. 페르난 씨도 이해하고 계실 거예요.알베르크 공은 의장대리에 어울리지 않다는 걸. 왕국의 저자세적인 태도가 그증거죠」	「恩があると分かっていて声をかけました。フェルナンさんも理解しているはずだ。アルベルク殿は議長代理に相応しくない、とね。王国への弱腰の態度がその証拠だ」
페르난의 표정이 엄하게 바뀐다.	　フェルナンの表情がきついものに変わる。
「함부로 저자세를 취한 게 아니야. 아인호른――그 비행선은 이미 동형함이 양산되어 항구에 정박하고 있다잖아. 그런 나라에 계속 강경한 태도를 내세워서어쩌겠어?」	「ただの弱腰ではない。アインホルン──あの飛行船は、同型艦が既に量産されて港に停泊しているそうじゃないか。そんな国に強気の態度を見せ続けてどうする？」
「그 때문에 저자세가 되어선 곤란해요. 이후의 교섭에 문제가 생기죠」	「それで弱気になっては困りますよ。今後の交渉に問題が出てくる」
페르난은 애국심이 강하다.	　フェルナンというのは愛国心が強い。
그것도, 강자인 공화국에 대해서, 다.	　それも、強者である共和国に対して、だ。
왕국에게 진 것을 인정하는 것은 굴욕일 것이다.	　王国に負けたことを認めるのは屈辱なのだろう。
하지만 위정자로서 현실도 보고 있다.	　だが、為政者として現実も見ている。
　ロイクはそこを突いた。	　ロイクはそこを突いた。
「――왕국은 만만치 않아요. 그렇기에 상응하는 태도를 취할 필요가 있어요.이후의 교섭도 포함해서 알베르크 공의 태도는 악수였어요」	「──王国は手強い。だからこそ、相応の態度を取る必要があります。今後の交渉も含めて、アルベルク殿の態度は悪手だった」
페르난도 그리 생각하는지, 로이크에게서 얼굴을 돌렸다.	　フェルナンもそう思っているのか、ロイクから顔を背けた。
로이크는 교섭 카드――더할 나위 없는 카드를 내밀었다.	　ロイクは交渉のカード──これ以上はないカードを切った。
「――무녀를 발견했습니다」	「──巫女が見つかりました」
그걸 듣고 페르난이 로이크를 돌아보며 눈을 크게 뜨고 있었다.	　それを聞いてフェルナンがロイクへと振り向き、目を見開いていた。
로이크는 이야기를 계속한다.	　ロイクは話を続ける。
「과거 라우르트 가문이 멸족시킨 레스피나스 가문의 생존자――쌍둥이 자매의이름은 노엘과 레리아입니다. 지금은 성을 바꾸고 학원에 다니고 있어요」	「かつてラウルト家が滅ぼしたレスピナス家の生き残り──双子の姉妹の名前は、ノエルとレリアです。現在は苗字を変えて学院に通っていましてね」
그걸 들은 페르난이 또다시 경악한다.	　それを聞いたフェルナンがまた驚く。
「알베르크 공이 실수했다고 생각하기 어렵지만――살아남아 줬던 건가」	「アルベルク殿がヘマをするとは思えないが──生き残っていてくれたか」
라우르트 가문이 레스피나스 가문을 멸족시켰다.	　ラウルト家がレスピナス家を滅ぼした。
젊은 세대는 그것만은 알고 있을 뿐, 당시의 자세한 사정은 듣지 못했다.	　若い世代はそれだけは知っているが、当時の詳しい事情は聞かされていない。
관계자들이 입을 다물었기 때문이다.	　関係者たちが口を噤んだからだ。
지금의 육대 귀족의 당주들――의 전 세대라면 좀 더 자세한 이야기를 알고있겠지만, 모두 언급하지 않았다.	　今の六大貴族の当主たち──の、前の世代ならもっと詳しい話を知っているだろうが、誰も喋らなかった。
발리에르 선대 당주는 이미 죽었고, 드루이유 가문도 마찬가지다.	　バリエル家の先代当主は既に亡くなり、ドルイユ家も同様だ。
알아볼 방법이 없다.	　調べる術がない。
다른 가문으로 찾아가 이야기를 듣는 것도 어렵다.	　他家に乗り込み話を聞くというのも難しい。
하지만, 라우르트 가문은 의장대리를 꿰차고 있다.	　だが、ラウルト家は議長代理に収まっている。
그걸 의문스럽게 생각하는 젊은 세대는 많았다.	　それを疑問に思う若い世代は多かった。
로이크도 그게 신경 쓰인다.	　ロイクもそこが気になっている。
(알베르크 공이 노엘들을 놓칠 거라고는 생각하기 어렵지만, 무슨 이유가 있는 걸까?)	（アルベルク殿がノエルたちを逃がすとは思えないが、何か理由があるのだろうか？）
멸족시킨다면, 후계자는 절대 놓칠 수 없는 상대다.	　滅ぼすなら、跡取りなど絶対に見逃せない相手だ。
　それを逃がしたなど失敗である。	　それを逃がしたなど失敗である。
하지만, 로이크는 그 부분의 사정은 그다지 흥미가 없다.	　ただ、ロイクはその辺りの事情にあまり興味がない。
노엘이 무녀로 선택받은 쪽이 중요하다.	　ノエルが巫女に選ばれた方が重要だ。
「무녀로 선택받은 건 노엘이에요. 페르난 씨, 전――노엘을 발리에르 가문으로맞이하려고 해요」	「巫女に選ばれたのはノエルです。フェルナンさん、俺は──ノエルをバリエル家に迎え入れようと思います」
그걸 듣고 페르난이 차가운 눈으로 바라본다.	　それを聞いて、フェルナンが冷たい目を向けてくる。
「살아계셔서 무녀로 선택받았다면 여섯 가문이 보호해야만 해. 한 가문이 독점하는 일 따위 있어선 안 돼」	「生きておられて、巫女に選ばれたのならば六家で保護するべきだ。一つの家が独占するなど、あってはならない」
그건 발리에르 가문에게 커다란 권력을 넘기고 싶지 않다, 라는 페르난의 본심도 포함되어 있다.	　それはバリエル家に大きな権力を渡したくない、というフェルナンの本音も含まれている。
하지만, 로이크도 보답을 마련하고 있다.	　だが、ロイクも見返りは用意している。
「유그에 대한 겁니다만, 학원을 졸업한 후에는 페르난 씨를 돕게 하실 건가요?」	「ユーグについてですが、学院を卒業後はフェルナンさんの手伝いをさせるつもりですか？」
주제가 갑자기 바뀐 것을 의아하게 생각하는 페르난이었지만, 수긍한다.	　話が急に変わったことを怪訝に思うフェルナンだったが、頷く。
「그럴 예정이다」	「その予定だ」
「유그는 불성실한 부분은 있어도 유능한 남자예요. 육대 귀족의 당주가 되더라도 충분히 해나갈 거예요」	「ユーグは不真面目なところはあっても有能な男です。六大貴族の当主になっても十分にやってくれますよ」
페르난이 경계심을 높였다.	　フェルナンが警戒心を強めていた。
「내가 거부하면 유그를 드루이유 가문의 당주로 만들 셈인가?」	「私が拒否すればユーグをドルイユ家の当主にするつもりか？」
「설마요. 앞으로의 강한 공화국을 위해 필요한 사람입니다. 드루이유 가의 당주는 단연코 페르난 씨 한 명. 하지만, 유그도 당주로 삼아도 좋잖아요? 여하튼, 그 녀석의 약혼자는 루이제니까」	「まさか。貴方はこれからの強い共和国のために必要な人だ。ドルイユ家の当主は、間違いなくフェルナンさん一人。でも、ユーグだって当主にしていいでしょう？　何しろ、あいつの婚約者はルイーゼだ」
그걸 들은 페르난이 바로 이해한다.	　それを聞いたフェルナンがすぐに理解する。
「어림없어. 셀쥬 군이 있어」	「無駄だ。セルジュ君がいる」
셀쥬의 이름이 나오자, 로이크는 코웃음쳤다.	　セルジュの名前が出てくると、ロイクは鼻で笑った。
「모험가 같은 걸 지향하는 남자가, 정말로 육대 귀족에 어울린다고 생각하나요? 페르난 씨도 차기 라우르트 가의 당주와는 우호적인 관계를 이어가고 싶으시겠죠?」	「冒険者なんて目指している男が、本当に六大貴族に相応しいとお思いですか？　それに、あいつは六大貴族を毛嫌いしている。フェルナンさんも、次期ラウルト家の当主とは友好な関係を続けたいでしょう？」
그게 사이좋은 이복동생이라면, 페르난에게는 좋은 이야기다.	　それが仲の良い腹違いの弟ならば、フェルナンにとってはいい話だ。
유그는 유능하지만, 페르난에게 맹목적인 부분이 있다.	　ユーグは有能だが、フェルナンに対して盲目的なところがある。
그걸 페르난도 이해하고 있었다.	　それをフェルナンも理解していた。
로이크는 한 술 더 떴다.	　ロイクはもう一押し加えた。
「라우르트 가를 잇는 건 유그와 루이제예요. 두 사람의 아이라면 라우르트 가를 이어도 아무도 뭐라 하지 않아요. ――의장대리를 제외하면 말이죠」	「ラウルト家を継ぐのはユーグとルイーゼです。二人の子なら、ラウルト家を継いでも誰も文句を言いませんよ。──議長代理を除いては、ね」
페르난은 조금 생각한 후 결단한다.	　フェルナンは少し考え、そして決断する。
「좋아. 그 거래에 응하지. 하지만, 무녀님이 학원을 졸업하고 자립하시면 의장이 돼주셔야겠어. 의장은 레스피나스 가문이 맡는다고 약속해 주겠지?」	「いいだろう。その取引に応じよう。だが、巫女様が学院を卒業し、独り立ちをすれば議長になっていただく。議長はレスピナス家が務めると約束してくれるね？」
로이크는 그 부분은 흥미가 없다.	　ロイクはその辺りに興味がない。
(발리에르 가의 횡포를 경계하는 거겠지만, 내가 수호자가 되면 싫어도 레스피나스 가의 뒷배는 발리에르 가문이야. 아마, 장래를 내다본 거겠지)	（バリエル家の専横を警戒しているのだろうが、俺が守護者になれば嫌でもレスピナス家の後ろ盾はバリエル家だ。まぁ、将来を見据えてのことだろうな）
「물론입니다. 뭐어, 수호자로서 이후는 노엘의 뒷배가 되겠지만요」	「もちろんです。まぁ、守護者として今後はノエルの後ろ盾にはなりますがね」
공화국은 이제까지 수호자를 배출한 가문이 권력을 가진 일이 있어 드문 이야기도 아니었다.	　共和国はこれまでにも守護者を輩出した家が権力を持つことがあり、珍しい話でもなかった。
페르난은 발리에르 가문이 이후에도 레스피나스 가문의 무녀를 독점하는 것은용납하지 않는다고 말하는 것이다.	　フェルナンは、バリエル家で今後もレスピナス家の巫女を独占するのは許さないと言っているのだ。
페르난은 괴로운 것 같은 표정을 하고 있었다.	　フェルナンは辛そうな表情をしていた。
알베르크를 배신하는 일에 양심의 가책을 느끼는 것일 거다.	　アルベルクを裏切ることに、良心が咎めているのだろう。
하지만, 로이크에게는 관계없다.	　だが、ロイクには関係ない。
(은혜가 있어도 이 정도군. 라우르트 가문의 힘이 손에 들어온다는 걸 알면바로 배신하지. 하지만, 나를 위해 도움이 돼줘야겠어――페르난)	（恩があってもこの程度だな。ラウルト家の力が手に入ると知れば、すぐに裏切る。だが、俺のために役立ってもらうぞ──フェルナン）
◇	　　　◇
드루이유 가의 저택에 마련된 루이제의 방.	　ドルイユ家の屋敷に用意されたルイーゼの部屋。
루이제는, 여름방학은 그곳에서 생활하고 있었다.	　ルイーゼは、夏期休暇はそこで生活していた。
유그와의 사이가 깊어지게 하기 위한 건 형식일 뿐, 거의 시집간 것이나 마찬가지다.	　ユーグとの仲を深めるためというのは建前で、もうほとんど嫁いだようなものだ。
그걸 다른 육대 귀족들에게 보여주고 있는 것에 지나지 않다.	　それを他の六大貴族たちに示しているに過ぎない。
이유는 라우르트 가문이, 하루빨리 드루이유 가와의 사이에 밀접한 관계를 맺고 싶었기 때문이다.	　理由は、ラウルト家がさっさとドルイユ家との間に繋がりが欲しかったからだ。
의장대리로 일하는 알베르크에게 있어선, 편을 되어줄 가문이 없으면 곤란한것이다.	　議長代理として働くアルベルクにとっては、味方となる家がないと困るのだ。
하지만, 유그는 루이제의 방을 찾아가지 않았다.	　だが、ユーグはルイーゼの部屋に訪れなかった。
여름방학은 공화국에서도 한 달 이상이 남았다.	　夏期休暇は共和国でも一ヶ月以上もある。
그럼에도 한 번도 찾아오지 않는다.	　それなのに、一度も訪ねてこない。
창문 밖을 바라보자, 유그가 차를 타고 외출하는 참이었다.	　窓の外を眺めると、ユーグが車に乗り込み出かけるところだった。
「또 여자랑 놀러 가나」	「また女遊びか」
루이제는 그걸 탓하지 않는다.	　ルイーゼはそれを咎めない。
서로 마음이 없는 건 알고 있었기 때문이다.	　お互いに気持ちがないのは分かりきっているからだ。
어서 손을 대준다면 이야기가 순조롭게 진행될 텐데――라는 정도의 마음밖에없었다.	　さっさと手を出してくれれば、話がスムーズに進むのに──という程度の気持ちしかなかった。
루이제는 방에 있어도 별 수 없기에 밖으로 나가 쇼핑이라도 하려고 했다.	　ルイーゼは部屋にいても仕方がないので、外に出て買い物にでも向かおうとする。
그러자, 루이제의 방 앞에 몇 명의 사용인들이 있었다.	　すると、ルイーゼの部屋の前に数人の使用人たちがいた。
「루이제 님, 어디 가시나요?」	「ルイーゼ様、どちらへ？」
조금 초조해하는 듯이 보였다.	　少し焦っているように見えた。
「쇼핑이라도 하러 갈래. 차를 준비해 줄래?」	「買い物にでも出かけるわ。車を用意してもらえる？」
사용인들이 얼굴을 마주 본다.	　使用人たちが顔を見合わせる。
그리고, 바로 루이제에게 대답했다.	　そして、すぐにルイーゼに答えた。
「알겠습니다. 준비가 될 때까지 방에서 기다려주십시오」	「かしこまりました。準備が出来るまでお部屋でお待ちください」
「어차피 현관 앞에서 탈 거라면 거기서 기다릴래」	「どうせ玄関前で乗るなら、そっちで待つわ」
「아뇨, 방에서 기다려주십시오」	「いえ、お部屋でお待ちください」
방으로 돌려보내진 루이제는, 왠지 이상한 기분이었다.	　部屋に戻されたルイーゼは、何だか妙な気分だった。
(뭐지? 어제와는 분위기가 다르네) 	（何かしら？　昨日と雰囲気が違うわね）
무언가를 루이제에게서 숨기려는 듯이 느꼈다.	　何かをルイーゼから隠そうとしているように感じた。
◇	　　　◇
그날 밤의 일이다.	　その日の夜だ。
유그와 저녁을 함께 할 예정이었으나, 아무리 기다려도 오질 않는다.	　ユーグと夕食を共にするはずだったのだが、いつまで経っても現れない。
급사를 하는 사용인들도 난처해하고 있다.	　給仕をする使用人たちも困っている。
「유그는 아직 돌아오지 않았어?」	「ユーグはまだ戻らないの？」
루이제가 묻자, 사용인 중 한 명이 대답한다.	　ルイーゼが尋ねると、使用人の一人が答える。
「돌아오시긴 했는데, 페르난 님께 불려가셨다고 합니다」	「戻られてはいるのですが、フェルナン様に呼び出されたとのことです」
「페르난 씨에게?」	「フェルナンさんに？」
저녁 식사 전에 부르거나 할까?	　夕食前に呼び出すだろうか？
페르난은 오히려, 루이제의 상대를 하지 않는 유그를 꾸짖고 있었다.	　フェルナンはむしろ、ルイーゼの相手をしないユーグを叱っていたはずだ。
뭔가 중요한 용건이라도 있는 건가?	　何か重要な用事でもあるのか？
그리 생각하고 있을 때, 유그가 방으로 들어온다.	　そう思っていると、ユーグが部屋に入ってくる。
거칠게 자기 자리에 앉더니, 급사들이 들고 온 술병을 빼앗아 술잔에 따라 마시기 시작했다.	　乱暴に自分の席に着くと、給仕たちが持って来た酒瓶を奪ってグラスに注いで飲み始めた。
루이제가 주의를 준다.	　ルイーゼが注意する。
「태도가 나빠」	「態度が悪いわよ」
유그는 미소짓고 있었다.	　ユーグは笑みを浮かべていた。
루이제는 그게 신경 쓰인다.	　ルイーゼはそれが気になる。
평소라면 흥미 없다는 듯이 「아아, 그렇네」 정도 밖에 대답하지 않았다.	　普段なら興味がなさそうに「あぁ、そうだな」くらいにしか返事をしてこないのだ。
「왜 그래?」	「どうしたのよ？」
「루이제, 앞으로 재밌는 일이 일어날 거다」	「ルイーゼ、これから面白いことが起きるぜ」
유그는 그리 말하고는 급사들이 가져온 음식을 먹었다.	　ユーグはそう言うと、給仕たちが持って来た食事に手を付けた。
루이제는 무슨 소리인지 알 수 없었다.	　ルイーゼは何のことだか分からない。
유그는 술잔을 들며 즐거워하고 있었다.	　ユーグはグラスを掲げると、楽しそうにしていた。
「내일은 공화국에 있어서 좋은 날이 될 거야」	「明日は共和国にとっていい日になる」
◇	　　　◇
마라에의 저택.	　マリエの屋敷。
문 앞에는 많은 자동차들이 와있었다.	　門の前には多くの車がやって来ていた。
병사들이 의례용 장비를 착용하고 있다.	　兵士たちが儀礼用の装備を着用している。
뒤에는 완전무장한 병사들도 있고, 하늘에는 비행선이 떠있었다.	　後ろには完全武装の兵士たちもいるし、空には飛行船が浮かんでいた。
저택은 지상도 하늘도 둘러싸여져 있다.	　屋敷は地上も空も取り囲まれている。
카일이 창문 밖을 가리킨다.	　カイルが窓の外を指さす。
「주인님, 다른 비행선도 모여들고 있어요!」	「ご主人様、他の飛行船も集まってきていますよ！」
문장이 다른 가문의 비행선이 모여들고 있다.	　家紋の違う飛行船が集まってきている。
마치 관전하고 있는 듯하다.	　まるで観戦しているようだ。
카라가 떨고 있었다.	　カーラが震えていた。
「마리에 님, 갑옷까지 날아다니고 있어요!」	「マリエ様、鎧まで飛び回っていますよ！」
저택이 포위되어 있다.	　屋敷が取り囲まれている。
아침부터 소란스럽기 그지없다.	　朝っぱらから、騒がしくて仕方がない。
잠옷 차림에 머리가 떡진 마리에는, 급하게 일어난 탓에 베개를 껴안고 있었다.	　寝間着姿で寝癖の付いたマリエは、慌てて飛び起きたせいで枕を抱きしめていた。
「치, 침착해! 이런 때는 뺨을 꼬집고 꿈인지 아닌지 확인하는 거야!」	「お、落ち着きなさい！　こういう時は頬をつねって夢かどうかを確認するのよ！」
세 사람이 뺨을 꼬집는다.	　三人が頬をつねる。
――아프다. 현실이었다.	　──痛い。現実だった。
카일이 머리를 싸쥐고 있었다.	　カイルが頭を抱えていた。
「어떡해요! 백작님은 일시 귀국했는데!」	「どうするんですか！　伯爵は一時帰国しているのに！」
카라도 마찬가지다.	　カーラも同様だ。
「우와~앙, 발트팔트 백작님, 빨리 돌아와요!」	「うわ～ん、バルトファルト伯爵、早く帰ってきて！」
다섯 얼간이에게는 일절 기대하지 않는 두 사람이었다.	　五馬鹿には一切期待していない二人だった。
마리에도 같은 마음이다.	　マリエも同じ気持ちだ。
「클레아레, 리온은 아직 안 돌아오는 거야!?」	「クレアーレ、リオンはまだ戻らないの!?」
『응~, 이제 곧 돌아간다고 연락은 왔지만, 아직 시간이 더 걸리겠네. 좋아, 리코르누를 출격시켜서 이 녀석들을 태워버릴까!』	『う～ん、もうすぐ戻るとは連絡が来たけど、まだ時間はかかるわね。よし、リコルヌを出撃させてこいつらを焼こっか！』
마리에는 클레아레도 두려워한다.	　マリエはクレアーレにも恐怖する。
(이 녀석들, 아무렇지도 않게 살인을 할 수 있는 점이 미쳤어어! 그보다, 그런걸 해도 괜찮은 거야? 외교 문제가 도지 않아? 어, 그래도 이거 문제아냐?그보다, 왜 오빠가 없을 때 쳐들어오는 거야! ――자, 잠깐만, 이거 오빠가 없어서 쳐들어온 거 아냐? 이 멍청한 오빠 놈아아아!!)	（こいつら、平気で人殺しが出来るのがやべぇ！　というか、そんなことをしても平気なの？　外交問題にならない？　え、でもこれって問題じゃないの？　というか、何で兄貴がいない時に攻め込んでくるのよ！　──ま、待って、これって兄貴がいないから攻め込んできたんじゃないの？　兄貴の馬鹿野郎ぉぉぉ!!）
 리온이 없어서 공격해왔다고 착각한 마리에였지만, 저택에 연미복 차림의 사자가 다가온다.	　リオンがいないから攻め込まれたと勘違いしたマリエだったが、屋敷に燕尾服姿の使者がやって来る。
『어머, 선전포고려나? 리코르누한테 아인호른만 한 성능은 없다고 생각하는걸까? 그렇다면 너희들로 시험해주마. 내 리코르누는 아인호른 이상으로 훌륭한 아이라는 걸 증명하겠어!』	『おや、宣戦布告かな？　リコルヌに、アインホルンほどの性能はないと考えているのかしら？　だったらお前らで試してやるよ！　私のリコルヌは、アインホルン以上に出来る子だって証明するわ！』
저놈들한테 대포와 미사일을 박아주겠어! 라고 의기양양해하는 클레아레를, 마리에가 베개로 억누른다.	　あいつらに大砲とミサイルをぶち込んでやるぜ！　と、意気揚々としているクレアーレをマリエは枕で押さえ込む。
「이 바보야! 그런 짓을 하면 전쟁이 벌어지잖아! 아, 아무튼 저 사람을 저택으로 들이자!」	「この馬鹿！　そんなことをしたら戦争になるじゃない！　と、とにかくあの人を屋敷に入れるわ！」
마리에가 허둥지둥 대고 있을 때, 사자가 소리쳤다.	　マリエがバタバタとしていると、使者が声を張り上げる。
「저는 발리에르 가에서 일하는 자입니다. 노엘 질 레스피나스 님――모시러 왔습니다!」	「私はバリエル家に仕える者でございます。ノエル・ジル・レスピナス様──お迎えに上がりました！」
마리에는 그걸 듣고 눈이 휘둥그레졌다.	　マリエはそれを聞いて目を丸くした。
「왜, 왜 저 녀석들이 그걸 알고 있는 거야」	「な、何であいつらが、そのことを知っているのよ」
마리에는 이런 전개를 알지 못했다.	　こんな展開、マリエは知らなかった。
◇	　　　◇
이름을 불린 노엘이 밖으로 나오자, 사자가 무릎을 꿇고 고개를 숙였다.	　名前を呼ばれたノエルが外に出ると、使者が膝をついて頭を下げてきた。
발리에르 가의 가신 중에서도 신분이 높아 보이는 인물은, 오른 손등에 문장을 지니고 있다.	　バリエル家の家臣の中でも身分が高いだろうその人物は、右手の甲に紋章を宿している。
그리고, 노엘을 앞에 두고 말한다.	　そして、ノエルを前にして言う。
「무사하셔서 다행입니다. 레스피나스 가의 후계자인 당신을 맞이할 수 있어, 무척 기쁘게 생각합니다」	「よくぞご無事で。レスピナス家の跡取りである貴女様をお迎えできて、大変嬉しく思います」
망연해하는 노엘을 보는 건, 저택을 에워싸고 있는 발리에르 가의 병사들이었다.	　呆然とするノエルが見るのは、屋敷を取り囲んでいるバリエル家の兵士たちだった。
주변의 구경꾼들도 모여들고 있다.	　周囲の野次馬たちも集まってきている。
구경꾼들이 노엘을 보고 있었다.	　野次馬たちがノエルを見ていた。
「레스피나스래!」	「レスピナスだって！」
「생존자가 있던 거야?」	「生き残りがいたのか？」
「어, 하지만 후계자라니――무녀님!?」	「え、でも跡取りって──巫女様!?」
그런 구경꾼들을 병사들이 쫓아내고 있었다.	　そんな野次馬たちを、兵士たちが追い払っていた。
하지만, 자신이 생존자라는 게 벌써 알려져 버렸다.	　だが、もう自分が生き残りであると知られてしまった。
(아~, 아제 전부 끝이야)	（あ～、もう何もかも駄目だ）
오른손을 보는 노엘은, 자신을 맞이하러 왔다고 주장하는 남자에게 물었다.	　右手を見るノエルは、自分を迎えに来たと言い張る男を前に聞くのだ。
「꽤나 위협적이네. 여기 사람들을 어쩔 생각이야?」	「随分物騒よね。ここの人たちをどうするつもり？」
사자는 머리를 들지 않은 채 대답한다.	　使者は頭を上げずに答える。
「무녀님을 되찾기 위해 목숨을 걸고 찾아왔습니다. 무녀님을 되찾기 위해서라면, 설령 왕국의 기사가 상대라 해도 싸울 뿐입니다」	「巫女様を取り戻すため、命を賭けてまいりました。巫女様を取り戻すためならば、たとえ王国の騎士が相手だろうと戦うのみです」
노엘은 고개를 떨구고 만다.	　ノエルは俯く。
(리온이 여기 없다는 걸 알면서)	（リオンがここにはいないって知っている癖に）
노엘이 막연하게 서 있을 때, 문에서 한 명의 청년이 걸어온다.	　ノエルが立ち尽くしていると、門から一人の青年が歩いてくる。
――로이크였다.	　──ロイクだった。
「노엘, 데리러 왔어」	「ノエル、迎えに来たぞ」
「로이크, 너」	「ロイク、あんた」
로이크는 에워싼 발리에르 가의 군대를 본다.	　ロイクは取り囲んだバリエル家の軍隊を見る。
대포는 겨눠지지 않았지만, 언제라도 공격할 준비가 되어있었다.	　大砲は向けられていないが、いつでも攻め込める準備が整っていた。
노엘이 로이크에게 분노를 터트린다.	　ノエルがロイクに怒りをぶつける。
「너, 페벨 가에 이어서 이 사람들한테 싸움을 걸 생각이야!? 페벨 가문이 어떻게 됐는지 잊었어? 이런 짓을 하니까, 공화국은 아무리 지나도 야만스러운나라라고 듣는 거야」	「あんた、フェーヴェル家に続いてこの人たちに喧嘩を売るつもりなの!?　フェーヴェル家がどうなったか忘れたの？　こんなことをしているから、共和国はいつまで経っても野蛮な国だって言われるのよ」
로이크는 미소를 지으며 노엘의 이야기를 듣고 있었다.	　ロイクは微笑みながらノエルの話を聞いていた。
무척이나 꺼림칙했다.	　とても不気味だった。
노엘이 무서워하자, 로이크가 양손을 펼치며 입을 열었다.	　ノエルが怖がっていると、ロイクが両手を広げて口を開く。
「너에게는 그만한 가치가 있어!」	「君にはそれだけの価値がある！」
「어?」	「え？」
당황해하는 노엘을 방치하고, 로이크는 뻔뻔한 연기를 하며 이야기를 계속했다.	　戸惑うノエルを放置して、ロイクは白々しい芝居をしながら話を続ける。
「비록 우리가 전멸하더라도, 너를 구하기 위해 목숨을 내던지겠지. 발리에르가문만이 아니야. 다른 다섯 가문도 싸우지 않을 수 없어. 아니――나라 전체가 널 갈망하며 싸우겠지」	「たとえ、俺たちが全滅しようとも、お前を救うために命を投げ出すだろう。バリエル家だけじゃない。他の五家も戦わざるを得ない。いや──国中がお前を求めて戦うな」
무녀라는 건 그만큼 공화국에서 중요한 존재였다.	　巫女というのはそれだけ共和国で重要な存在だった。
무녀가 부재된 지 10년 이상――그걸 불안하게 생각하는 사람들은 많다.	　巫女が不在となり十年以上──それを不安に想う人々は多い。
귀족만이 아닌 공화국에 살고 있는 백성도 마찬가지다.	　貴族だけではなく、共和国に暮らしている民も同じだ。
사람과 성수를 잇는 존재.	　人と聖樹を繋ぐ存在。
성수를 떠받드는 나라에서는 무척 중요한 존재다.	　聖樹を崇める国では、とても大事な存在だ。
노엘을 되찾기 위해, 분명 수많은 이들이 싸울 것이다.	　ノエルを取り戻すために、きっと大勢が戦うだろう。
