KR	JP
말만 갖고 설득하기엔··· 모두가 서로 불신하고 있었다.	言葉だけを持って説得するには・・・みんなが互いに信じていた。 
지난 세월 동안 쌓이고 또 쌓여온 감정 때문에.	過ぎた歳月もの間積もってまた、積もってきた感情のために。 
“하아.”	"はあ。" 
그걸 깨달았는지 성기사가 한숨을 흘렸다.	それを悟ったのか聖騎士がため息を流した。 
“좋다. 어쩔 수 없군. 내가 조금 희생하겠다.”	"良い。 仕方ないね。 私が少し犠牲する。" 
희생이라는 말이 나오자 헌터들이 돌아봤다.	犠牲という言葉が出ると、ハンターたちが見た。 
시선이 집중된 가운데 성기사는 작게 읊조렸다.	視線が集中された中、パラディンは小さく言った。 
“스킬 카드 오픈.”	"スキルカードオープン。" 
파앗!	パアッ! 
성기사의 손에서 빛이 은은하게 올라왔다. 잠시 뒤, 허공에 은색 카드가 나타났다.	パラディンの手で光がまろやかに掲載された。 しばらく後、虚空に銀色のカードが現れた。 
헌터 본인이 허락하지 않으면 타인은 절대 볼 수 없는 카드. 성기사가 지닌 스킬 카드였다.	ハンター本人が承諾しなかったら、他人は絶対見られないカード。 聖騎士が持つスキルカードだった。 
“···부단장.”	"・・・副団長。" 
마녀는 성기사를 걱정하는 낯이었다. 최상위 랭커는 웬만해선 자신의 스킬 카드를 결코 공개하지 않았다. 스킬은 헌터가 가진 비장의 무기. 그걸 남한테 훤히 보여주는 것은 자책골이나 똑같았다.	魔女はパラディンを心配する顔だった。 最上位ランカーはなかなか自分のスキルカードを決して公開しなかった。 スキルはハンターが持った悲壮の武器。 それを他人によく示すものは、オウンゴールや一緒だった。 
“됐다. 상관없다.”	"なった。 かまわない。" 
그러나 성기사는 순순히 카드를 뒤집었다.	しかし、パラディンは素直にカードを覆した。 
“모두 똑똑히 보도록.”	"すべてはっきり見るように。" 
+	+ 
[거짓말 탐지기]	[嘘探知機] 
랭크: A-	ランク:A- 
효과: 상대방이 거짓말을 하는지 안 하는지 알 수 있습니다. 사람뿐만 아니라 NPC와 몬스터에게도 적용됩니다! 그러나 상대방이 ‘진실’이라고 생각한 것이 객관적으로는 ‘거짓’일지도 모릅니다. 믿음인가. 의심인가. 최후의 선택은 언제나 당신에게 달려 있습니다.	効果:相手が嘘をついかしないかが分かります。 人だけでなく、NPCとモンスターにも適用されます! しかし、相手が'真実'と思ったのが客観的には'偽り'かもしれません。 信頼か。 疑いか。 最後の選択はいつもあなたにかかっています。 
※단, 사람들이 당신의 말을 믿어줄 거라는 보장은 없습니다.	※ただし、人があなたの言葉を信じてくれるという保証はありません。 
+	+ 
나는 눈이 크게 뜨였다.	私は目が大きく開いた。 
‘거짓말 탐지기!’	'嘘探知機! ' 
그건 한때 염제가 자신이 가졌다며 속인 스킬이었다. 과연. 염병이 아니라 성기사가 가지고 있었나.	それは一時、炎帝は自分が持ったとし、だましたスキルだった。 なるほど。 腸チブスではなく、パラディンが持っていたのか。 
‘자경단 부단장한테 너무 잘 어울리는 기술이잖아!’	'自警団副団長にあまりにも似合う技術じゃない! ' 
자경단은 치안을 유지하는 길드였다. 당연히 탑에는 범죄자가 넘쳐났다. 당장 봐라. 랭킹 1위인 염제나 검성만 하더라도 사람들 눈이 없는 곳에서 나를 살해하지 않았던가?	自警団は、治安を維持するギルドだった。 当然、塔には犯罪者があふれた。 すぐ見なさい。 ランキング1位の炎帝や剣聖にしても、人々の目がないところで私を殺害しなかったっけ? 
이런 세상이다. [거짓말 탐지기]는 범죄자를 가려내는 데 어마어마하게 유용할 거다.	このような世の中だ。 [嘘探知機]は犯罪者を選別するのに非常に有用なんだ。 
“보다시피.”	"ご覧のとおり。" 
성기사가 카드를 잡은 채 말했다.	聖騎士がカードを握ったまま話した。 
“나에게는 상대의 거짓말을 알아보는 능력이 있다. 나를 자경단 부길드장까지 올려준 스킬이라 해도 과언이 아니지. 검성이여.”	"私には相手の嘘を見抜ける能力がある。 私を自警団ブギルドゥジャンまで上げたスキルと言っても過言ではない。 剣聖よ。" 
“···무엇이냐.”	"・・・何なのか。" 
“그대가 나를 믿어주기만 한다면, 지금 이 자리에서 김공자한테 무엇이든 질문하라. 김공자의 대답이 거짓인지 진실인지 내가 말해주마.”	"君が私を信じてくれさえすれば、今、この場でキムコンジャに何でも質問しなさい。 キムコンジャの答えがうそか誠か私が話してやる。" 
성기사는 무덤덤한 눈길로 검성과 나를 번갈아 쳐다보았다.	パラディンはこれといった視線で剣聖と私を交互に眺めた。 
“김공자여. 그대도 마찬가지다. 만일 그대가 믿어주기만 한다면, 그대의 말이 거짓인지 진실인지 내가 보증해주겠다.”	"キムコンジャ。 君も同じだ。 もしあなたが信じてくれさえすれば、あなたの言葉がうそか誠か私が保証してやる。" 
“······.”	"・・・・・・。" 
“의심은 인간을 갉아먹는 독이요, 진실은 가장 강력한 해독제다. 지금까지 잃어버린 신뢰를 되찾을 수는 없겠으나 적어도 12층에서 협조할 수는 있게 될 것이다.”	"疑いは人間を蝕む毒であり、真実は最も強力な解毒剤だ。 今まで失った信頼を取り戻すことはできないが、少なくとも12階で協力することはできることになるだろう。" 
“음···.”	"うん・・・。" 
검성은 수염을 쓰다듬으며 고민에 잠겼다.	剣聖はひげをなでながら悩みに浸かった。 
‘와.’	'来て。' 
나도 내심 생각했다.	私も内心思った。 
‘개꿀인데?’	'巣みつだけど? ' 
이건 최고의 기회라고.	これは最高のチャンスだと。 
생각지도 못한 행운이었다. 하지만··· 이게 정답이 맞았다. 애당초 내가 의심을 사게 된 것은 검성이 가진 스킬, 이른바 [탐정의 혜안] 때문이었다. 스킬 탓에 의심을 얻게 되었으니 스킬로 의심을 푸는 것이 순리 아닌가!	思いがけない幸運だった。 しかし、・・・これが正解が当たった。 そもそも私が疑問を買えるようになったのは剣聖が持ったスキル、いわゆる[探偵の慧眼]のためだった。 スキルのせいに疑いを得るようになり、スキルで疑いを解くことが道理じゃ! 
“저는 좋아요.”	"私はいいです。" 
나는 바로 즉답했다.	私はすぐに即答した。 
이런 건 먼저 받아들이는 사람이 더 유리하지.	このようなのは先に受け入れる人がもっと有利では。 
“···성기사 아가씨인가. 자네는 이 자리에서 유일하게 사람을 한 명도 해하지 않은 인물이지. 좋네. 나도 믿어보겠네.”	"・・・パラディンの娘か。 君はこの席で唯一人を一人も害するていない人物だ。 いいね 私も信じて見るよ。" 
검성도 의미심장한 말을 흘리며 받아들였다.	剣聖も意味深長な言葉を流しながら受け入れた。 
성기사가 고개를 끄덕였다.	聖騎士がうなずいた。 
“둘 다 동의한 것으로 간주하지. 그럼 검성이여. 아무쪼록 김공자에게 질문해라. 본인의 명예, 자경단의 명성을 걸고 두 사람의 문답을 공정히 증명하겠다.”	"二人とも同意したものと考えてい。 それでは剣聖よ。 くれぐれもキムコンジャに質問しなさい。 本人の名誉、自警団の名声をかけて二人の問答を公正に証明する。" 
“음.”	"うん。" 
검성이 나를 노려보았다.	剣聖が私をにらみつけた。 
마치 이런 순간만 기다려왔다는 듯 검성의 얼굴은 비장했다. 아마 내가 무시무시하게 나쁜 놈임을 천하에 밝히게 되었다는 생각 아닐까? 어쨌든 승리를 확신하는 눈초리였다.	まるでこんな瞬間だけを待っていたように剣聖の顔は悲壮だった。 多分、私がぞっとするように悪いやつであることを天下に明らかになったという気持ちではないか。 とにかく勝利を確信する目つきだった。 
-아이고···.	-ああ・・・。 
배후령이 옆에서 곡소리를 냈다.	ベフリョンがそばでゴクソリを出した。 
-아이고오, 마르쿠스 할아범아. 꼰대 영감아. 이래서 내가 스킬에 너무 의지하지 말라고 영감한테나 좀비한테나 누누이 말하는 거야. 스킬로 먹고 사는 자, 언젠가 스킬한테 배반당한다니까! 아이고오, 아이고.	・アイ剛、マルクス・爺さんよ。 年老いたやつら霊感よ。 こうだから私がスキルにあまり依存しないでと霊感にでもゾンビにでも何度も言ってるんだ。 スキルで食べて生きている者、いつかスキルに裏切られんだから! 子供剛、あぁ。 
‘조용히 좀 하세요.’	'静かにちょっとしてください。' 
안타깝게도 배후령의 목소리는 검성한테 닿지 못했다. 이 귀신 새끼는 지금 내 귀신 새끼였다.	残念ながらベフリョンの声は剣聖に達していなかった。 この妖怪の子は今私の鬼の子だった。 
“헌터 김공자.”	"ハンターキムコンジャ。" 
“예.”	"はい。" 
“네놈은 4000명이 넘는 인간을 살해하였다. 아니 그러한가.”	"きさまには4000人を超える人間を殺害した。 いやそうだろうか。" 
처억!	チョオク! 
노인은 칼을 잡지 않은 손으로 나한테 손가락질했다. 뭐라고 해야 되나. 꼭 ‘어떠냐! 이제 네놈의 악행이 만천하에 낱낱이 알려질 시간이노라!’ 하고 외치는 것 같았다.	老人は、刀を取らなかった手で私に後ろ指を差された。 何と言えばいい。 必ず'どうか! もうお前の悪事が満天下に一つ一つ知られる時間イノラ! 'と叫ぶようだった。 
내가 미소를 지었다.	私が笑みを浮かべた。 
“예.”	"はい。" 
“오오, 거 보거라! 이 천하의 몹쓸 것들아. 너희가 이 아해를 암살자로 기용하여서 무슨 짓을 저지르고 다녔는지 내 반드시 밝히어 세상에 고할···.”	"おお,それみなさい! この天下の悪いものよ。 君がこのによりを暗殺者として起用して何を犯して通ったか私必ず明らかにして世の中に告げる・・・。" 
“거짓이다.”	"嘘だ。" 
성기사가 말했다.	聖騎士が話した。 
“뭐?”	"え? " 
“거짓이다.”	"嘘だ。" 
성기사가 재차 무덤덤하게 말했다.	聖騎士が再度、淡々と語った。 
“방금 그대가 던진 질문에 김공자가 ‘예’라고 대답하지 않았나. 그 대답이 거짓이었다. 정리하면, 김공자는 4000명이 넘는 인간을 살해하지 않았다.”	"今あなたが投げかけた質問にキムコンジャが'はい'と答えるのではないか。 その返事が嘘だった。 整理すると、キムコンジャは4000人を超える人間を殺害しなかった。" 
“······.”	"・・・・・・。" 
“질문은 더 없는가?”	"質問はもうないのか? " 
침묵.	沈黙。 
검성이 입을 다문 가운데 성기사만이 고개를 갸웃거렸다.	剣聖が口を閉ざした中、聖機師だけが首をかしげた。 
“하지만 4000명이라니. 이상하군. 한 사람이 그만한 인간을 살해할 수 있는가? 상식적으로 생각해서 불가능에 가까운 일 아닐까 싶다만.”	"しかし、4000人だ。 おかしいね。 一人がそのような人間を殺害できるのか? 常識的に考えて不可能に近いことではないかと思うが。" 
“그, 그건 네놈들이··· 이 젊은이를 특급 암살자로 키워서···.”	"その、それは貴様たちが・・・この若者を特急暗殺者として育てて・・・。" 
내가 환하게 웃었다.	私が明るく笑った。 
“맞아요. 저는 특급 암살자예요.”	"そうです。 私は特急暗殺者です。" 
“거짓이다.”	"嘘だ。" 
“······.”	"・・・・・・。" 
노년의 검사가 입을 멍하게 벌렸다.	老年の検査が口をぼっとして広げた。 
“서, 성기사 아가씨여. 내 자네의 됨됨이를 잘못 봤구먼! 그래도 자네는 거짓 없이 만사를 중재해주리라 믿었건만!”	"立って、パラディンの娘よ。 私君の人となりを見誤ったねえ! それでも君は偽りなく万事を仲裁してくれると信じていたのに! " 
“내 말을 신뢰할지 말지는 여러분에게 달렸다.”	"私の話を信頼するかどうかはあなたにかかった。" 
성기사가 묵묵히 대꾸했다.	聖騎士が黙々と答えた。 
“믿으려면 믿어라. 믿지 말려면 믿지 마라. 그러게 처음부터 두 사람한테 똑같이 물어보지 않았는가? 정말로 나를 믿어줄 것이냐고.”	"信じるために、我々は信じなさい。 信じないためには、信じるな。 そう最初から二人に同じように聞いていないのか 本当に私を信じてくれるのかと。" 
“······.”	"・・・・・・。" 
“인제 와서 말을 바꿀 심산이라면 조금··· 쪼잔하군. 아니, 많이 쪼잔하다. 검성이여. 그대가 평소에 보여준 태도답지는 않다.”	"今になって言葉を変えるのなら、ちょっと・・・臆病ね。 いや、たくさん浅ましい。 剣聖よ。 君が普段見せた態度らしくはない。" 
“기, 기다리게!”	"基、お待たせ! " 
노인은 다급히 내 쪽을 쳐다봤다.	老人は急いで私の方を見た。 
“아무렴 네가 인간을 한 명도 살해하지 않았을 리 없다!”	"なるほど君が人間を一人も殺害していないはずない! " 
“아. 네. 그건 그렇죠. 제가 다른 사람을 없앤 적이 있긴 있습니다.”	"あ。 はい それはそうでしょう。 私が他の人をなくしたことがあることはあります。" 
성기사가 머리를 끄덕였다.	聖騎士が頭を縦に振れた。 
“진실이다.”	"真実だ。" 
“거 보아라!”	"それみろ! " 
“근데 딱 한 명이에요.”	"ところで1人です。" 
“···뭣이?”	"・・・何が? " 
성기사가 다시 머리를 끄덕였다.	聖騎士が再び頭を縦に振れた。 
“진실이다.”	"真実だ。" 
“······.”	"・・・・・・。" 
“물론 한 명을 죽였다고 해서 제가 살인자라는 사실이 달라지는 건 아니죠. 하지만, 검성님. 제가 정말 떳떳하지는 않더라도 이건 말씀드릴 수 있어요. 그놈은 진짜 죽일 만해서 죽였습니다. 왜냐면 그놈이 먼저 저를 죽이려 했거든요.”	"もちろん、1人を殺したとして私が殺人者という事実が変わるわけじゃないですよ。 しかし、剣聖さん。 私が本当に後ろ暗くないことはなくても、これは申し上げられます。 あいつは本当に殺すことができるから殺しました。 何故ならば、そのやつが先に私を殺そうとしたんですよ。" 
“진실이다.”	"真実だ。" 
“아니, 그냥 저 하나만 죽이려 했으면 양반이죠. 그놈이야말로 학살마예요. 학살마. 제가 걔가 살인을 저지르는 현장까지 목격한 적 있는데, 와, 사람을 불태워 죽이면서, 눈 하나 깜빡하지 않고! 그 염병할 놈이!”	"いや、ただあの一つだけを殺そうとしたら両班です。 あいつこそハクサルマです。 ハクサルマ。 私がその子が殺人を犯す現場まで目撃した事がありますが、来て、人を燃やして殺害しながら、まじろぎもせず! そのこん畜生が! " 
“진실이다.”	"真実だ。" 
“모르긴 몰라도 걔가 죽인 사람만 수십 명. 아뇨, 수백 명은 훌쩍 넘을 겁니다. 예. 걔라면 그럴 만해요. 그럴 만한 놈을 제가 죽였습니다. 살인자라고 욕하시려면 얼마든지 욕하시죠. 근데 그거 아세요? 전 다시 과거로 돌아간다 해도 걔부터 조질 겁니다. 와. 씨. 인간이 어떻게 걔처럼 악랄할 수가 없다니까요.”	"たぶんその子が殺した人だけ数十人。 いいえ、数百人は軽く超えるんです。 例 その子ならその値します。 それだけの奴を私が殺しました。 殺人者と悪口するにはいくらでも悪口してください。 ところでそれを知っていますか。 私は再び過去になるとしても、その子から焼き戻しかけます。 来て。 さん。 人間がどのようにその子のように悪らつすることはできないですからね。" 
성기사가 머리를 천천히 끄덕였다.	聖騎士が頭をゆっくりうなずいた。 
“다 진실이군.”	"全部真実だね。" 
“······.”	"・・・・・・。" 
검성은 침묵하였다.	剣聖は沈黙した。 
노인이 서서히 주변을 둘러보았다. 상황이 어떻게 돌아가는지 모르겠다는 낯빛이었는데, 아마 주위를 둘러봄으로써 좀 상황이 파악되었을 거다.	老人が徐々に周りを見回した。 状況がどのように動くか分からないという顔つきだったが、多分周りを見て状況が把握されたのだ。 
왜냐하면 길드장들이 모두 ‘···당신 지금 뭐해?’ 하는 눈빛으로 검성을 쳐다보고 있거든.	なぜならギルドゥジャンたちが皆'・・・あなた今何をしている? 'する目つきで剣聖を眺めているんだ。 
“아하하하! 아하핫!”	"あははは! アハハッ! " 
이단심문관이 배꼽을 잡고 폭소했다.	二段シムムングヮンが腹を抱えて大笑いした。 
“김공자 헌터가 저희 5대 길드의 특급 암살자라뇨! 흥미로운 발상이군요. 정말로 그랬다면 좋았을 테지만, 검성! 아깝게도 저희는 어제 김공자 헌터를 처음 봤습니다!”	"キムコンジャハンターが私の5代ギルドの特急暗殺者だって! 興味深い発想ですね。 本当にそうだったらよかったのだが、剣聖! 惜しくも私たちは、昨日キムコンジャハンターを初めて見ました! " 
“참고로 저것도 진실이다.”	"参考にあれも真実だ。" 
“······.”	"・・・・・・。" 
검성의 침묵이 깊어졌다.	剣聖の沈黙が深まった。 
-쯔쯔쯔쯧. 스킬로 흥한 자, 스킬로 망하리니.	-チュチュチュチュッ。 スキルで栄えた者、スキルで滅びてくれるだろうから。 
배후령은 혀만 차고 있었다.	ベフリョンは舌だけつけていた。 
“음. 아무튼 대답은 다 해드렸고요.”	"うん。 とにかく返事は全部やって差し上げたしです。" 
내가 헤살하게 웃었다.	私が邪魔に笑った。 
공자님 말씀 중에 정말로 틀린 게 없었다.	孔子様お話中に本当に間違いがなかった。 
“아마 쌍방에 큰 오해가 있었던 모양이네요. 오해에 불과해서 다행이에요. 근데 검성님. 아무튼 그 오해로 인해 검성님이 저를 공격했고, 길드장 여러분이 지켜주지 않았으면 상당히 높은 확률로 전 죽었겠네요? 진짜 억울하게.”	"多分双方に大きな誤解があったようですね。 誤解に過ぎないから良かったです。 でも剣聖さん。 とにかくその誤解によって剣聖さんが私を攻撃し、ギルドゥジャン皆さんが守ってくれなかったらかなり高い確率で前亡くなったでしょうね? 本当に悔しく。" 
“······.”	"・・・・・・。" 
“저는 이쯤에서 사과의 말씀을 들어야 하지 않을까 생각하는데요. 어떠세요?”	"私はこの辺で謝罪の言葉をしなければならないかと思いますが。 どうですか? " 
성기사가 고개를 끄덕였다.	聖騎士がうなずいた。 
“완벽한 진실이로군. 한치의 비약이 없는 정론이다.”	"完璧な真実じゃな。 一寸の飛躍がない正論だ。" 
“······.”	"・・・・・・。" 
“어서 김공자한테 사과해라. 검성.”	"早くキムコンジャに謝罪しなさい。 剣聖。" 
노인의 얼굴빛에서 혼이 빠져나갔다.	老人の顔の色から魂が抜けた。 
27화.  선택받은 자들. (3)	27話。 選ばれた者たち。 (3) 
========================	======================== 
“나, 나는···.”	"私、私は・・・。" 
한참이 지나서 검성은 입을 열었다.	しばらくが過ぎて剣聖は口を開いた。 
헌터들이 검성을 지켜보고 있었다. 노인의 입술은 바싹 메말랐다.	ハンターたちが剣聖を見守っていた。 老人の唇はからからに干からびた。 
“본인은 김공자에게···.”	"本人はキムコンジャに・・・。" 
여기서 검성은 많은 말을 할 수 있었다.	ここで剣聖は、多くの言葉を行うことができた。 
무엇보다 그는 성기사를 믿지 않아도 되었다. 믿을 이유가 없었다. 성기사가 아무리 청렴하고 공정하기로 유명한 헌터라지만, 그녀 역시 5대 길드의 권력자이긴 똑같았다. 왜 그녀를 신뢰해야 하는가.	何より彼は聖騎士を信じなくでもなった。 信じる理由がなかった。 聖騎士がいくら清廉で公正さで有名なハンターと言うが、彼女も5代ギルドの権力者とは同じだった。 なぜ彼女を信頼しなければならないのか。 
‘네놈들이 전부 한통속이 되어 본인을 속이는구나!’	'貴様たちが全部グルになって本人をだましているんだ! ' 
라고 검성은 화를 낼 수 있었다.	と剣聖は災いを出すことができた。 
아니면··· 차라리 검성은 자신의 스킬 카드를 공개할 수도 있었다. [탐정의 혜안]. 상대방의 킬 카운트를 보여주는 능력. 자신이 지닌 스킬을 남한테 까발리는 것은 별로 현명한 선택이 아니긴 했다. 그래도 변명의 거리로 삼기엔 충분하지.	それとも・・・、むしろ剣聖は自身のスキルカードを公開することもできた。 [探偵の慧眼]。 相手のキールカウントを見せてくれる能力。 自分が持つスキルを他人に暴くものはあまり賢明な選択ではないことはした。 それでも言い訳の距離とするには十分では。 
‘내가 꼰대라서 김공자를 의심한 게 아니다. 전부 스킬의 탓이다! 스킬이 그렇다고 말하는데 내가 어찌하느냐. 섣불리 다른 사람을 믿느니 자기 스킬을 믿는 게 당연하지 않느냐.’	'私が年老いたやつらだからキムコンジャを疑ったのではない。 全部スキルのせいだ! スキルがそうと言いますが私がどうか。 いたずらに他の人を信じるより自分のスキルを信じるのが当然ではないか。' 
사람들은 잘못을 저질렀을 때 대체로 남을 불신하거나 남한테 변명하기 마련.	人たちはミスを犯した場合、概ね人を信用したり、他人に言い訳するもの。 
‘염제처럼 아예 상대를 죽여버리는 싸이코패스도 있지만.’	'炎帝のように相手を殺してしまうサイコペスもあるが。' 
불신. 변명. 입막음.	不信。 言い訳。 口止め。 
염제가 [입막음]이라는 방법을 선택하여 자기가 싸이코패스임을 증명했듯··· 검성 역시 무슨 방법을 선택하느냐에 따라, 자신이 어떤 인간인지 스스로 결정하게 될 거다.	炎帝が[口止めという方法を選択して自分がサイコペスであることを証明したように・・・剣聖やっぱり何か方法を選択するかによって、自分がどんな人間なのか自分で決定することになるんだ。 
그저 그럴 뿐인 이야기다.	ただそうするだけの話だ。 
“으음.”	"ううん。" 
검성이 입술을 달싹였다.	剣聖が唇をダルサクヨた。 
그리고 결정했다.	そして決定した。 
“···이름이 김공자라 했던가.”	"・・・名前がキムコンジャと言っただろうか。" 
“예.”	"はい。" 
“만일 자네가 진정 무고한 인간을 학살하지 않았다면··· 아니. 아니다. 이게 아닐세.”	"もし君が本当に罪のない人間を虐殺しなかったら・・・いや。 違う これではないよ。" 
검성이 말하는 도중에 고개를 저었다.	剣聖が話の途中に首を横に振った。 
노인은 칼을 검집으로 집어넣었다. 스르릉. 칼이 거두어지자 알현실 여기저기서 안도의 한숨이 흘렀다. 검성을 둘러싸고 있던 헌터들이 조금은 긴장을 풀었다. 그런 가운데 검성은 자신의 넥타이를 빳빳하게 다듬었다.	老人は、刀を剣家に入れた。 スルルン。 刀が収めてなると、謁見室、あちこちで安堵のため息が漏れた。 剣聖を囲んでいたハンターたちが少しは緊張を解いた。 そんな中、剣聖は自分のネクタイをかたくなに整えた。 
“다시 말하게 해다오.”	"つまりせてくれ。" 
노년의 검사가 머리를 깊이 숙였다.	老年の検査が頭を深く下げた。 
“진심으로 미안하네.”	"本当にごめんね。" 
노인은 사과한 것이다.	老人は謝罪したのだ。 
“내가 잘못했다. 쉽게 생각하고 쉽게 오해했다. ···그래서 쉽게 사람을 죽일 뻔했다. 여태까지 본인은 스스로 판단하여, 죽어 마땅한 인간은 1초라도 더 빨리 지상에서 죽여 없애야 한다고 믿었다네. 믿음에 따라 죽여왔지.”	"僕が悪かった。 簡単に思って簡単に誤解した。 ・・・それで簡単に人を殺すところだった。 今まで本人は自ら判断して、死んで当然だた人間は1秒でももっと早く地上で殺し、なくすべきと信じたんだよ。 信頼によって殺してきたよ。" 
검성이 머리를 조금 더 아래로 숙였다.	剣聖が髪をちょっともっと下に下げた。 
“그러나 이제부터는, 다시는 그런 일이 없을 것일세.”	"しかし、これからは、二度とそんなことはないはず。" 
알현실에서 노인의 목소리는 낮게 흘렀다.	謁見室で老人の声は低く流れた。 
“말로만 사죄해서는 쓸모가 없지. 그대가 바라는 것이라면 무엇이든 들어주도록 합세··· 그리 말할 수만 있으면 멋지겠네만.”	"言葉だけで謝罪しては使い道がない。 あなたが望むことなら何でも聞いてくれるように加わり・・・そんなに言うことさえいればステキですが。" 
낮게 깔린 목소리에 자조가 섞였다.	低く立ち込めている声に自嘲の混じった。 
“부디 목숨을 취하는 것만은 용서해주게. 부탁함세. 나는 아직 살고 싶다네. 살아서 이 탑의 정상을 밟고 싶네. ···큰 잘못을 저질렀고, 자네를 자칫 죽일 뻔했지. 그런데도 이 추한 노구가 계속 살아가도록 용서해주련가.”	"どうか命を取ることだけは許してくれ。 お願いしてやろう. 私はまだ生きたいよ。 生きてこの塔の頂上を踏みたいね。 ・・・大きな過ちを犯し、君を、やや殺すところだった。 それでもこの醜い老躯が生き続けるように許してくれるかいが。" 
궁전의 알현실이 조용해졌다.	宮殿の謁見室が静かになった。 
노인은 얼마든지 달리 선택할 수 있었다. 성기사를 불신할 수 있었다. 스킬로 변명할 수도 있었다. 하지만 그러지 않았다. 대신, 노년의 검사는 [어쩌면 자기가 틀렸을지도 모른다]는 것을 인정한 것이다.	老人はいくらでも他に選択することができた。 パラディンを不信することができた。 スキルで弁明することもできた。 しかし、そうしなかった。 代わりに、老年の検査は[どうしたら自分が間違ったかもしれないってことを認めたのだ。 
“······.”	"・・・・・・。" 
성기사가 내 얼굴을 힐끗 바라보았다. 눈길이 마주쳤다. 그녀는 말없이 고개를 까닥였다. 아무런 대화도 오가지 않았으나, 나는 성기사가 뭐라 말하고 싶었는지 잘 알았다.	聖騎士が顔をじろりと見た。 目が合った。 彼女は無言のまま頭をカダクヨた。 何の話も行き交っていないが、私は聖騎士が何だと言いたいたのかよく分かった。 
‘진실이다.’	'真実だ。' 
노인이 말한 것이 전부 진실임을.	年寄りが言ったのがすべて真実であることを。 
미안하다는 것, 이제부터는 [탐정의 혜안]을 기준으로 사람을 죽이지 않겠다는 것. 그뿐만이 아니라, 죽기 싫다는 것.	すまないということ、これからは[探偵の慧眼]を基準に人間を殺していないということ。 彼だけでなく、死にたくないということ。 
더 살고 싶다는 것.	もっと生きたいということ。 
그러니 부디 용서해달라는 것.	だから、ぜひ許してほしいということ。 
-꼰대 늙은이 같으니.	-年老いたやつら老人ですから。 
배후령이 웅얼거렸다. 하지만 별말을 덧붙이진 않았다. 약간의 회한이 섞인 듯한 눈초리로 한때 제자였던 노인을 바라볼 뿐.	ベフリョンがウンオルゴリョた。 しかし、とんでもない話を付け加えていなかった。 若干の悔恨が混ざったような目つきで、一時弟子だった老人を見ただけ。 
검성을 용서할지 말지는 어디까지나 나한테 맡기겠다는 뜻일까.	剣聖を許すかどうかはどこまでも私に任せという意味だろうか。 
“음.”	"うん。" 
그 침묵을 듣고 나도 마음을 결정했다.	その沈黙を聞いて私も心を決定した。 
“검성님.”	"剣聖さん。" 
“말씀하시게.”	"お話するように。" 
“저한테 검을 가르쳐주시죠.”	"私に剣を教えてください。" 
“······.”	"・・・・・・。" 
검성이 숙였던 머리를 들어 나를 올려봤다.	剣聖が下げた頭を聞いて私を上げてみた。 
“가르쳐달라고 할지···. 제가 앞으로 대련을 청하면 언제든지 받아주십쇼. 검술 스승은 어쩌다 구해놓긴 했는데, 정작 중요한 대련 상대는 아직 없거든요. 검성님이 대련 상대가 되어주시면 좋겠네요.”	"教えてほしいと言われか・・・。 私がこれから大連を求められると、いつでも出てくれなさい。 剣術の師匠はどうして求めておきたりしたが、いざ重要なスパーリングの相手はまだないんです。 剣聖さんが大連相手になってくれたら良いですね。" 
마침 배후령과 11층에서 약속하기도 했다.	ちょうどベフリョンと11階で約束した。 
20층을 클리어하기 전까지 본격적으로 검술을 단련하겠다고.	20階をクリアする前まで本格的に剣術を鍛練すると。 
약속을 지킬 겸, 여기서 검성을 수련 파트너로 삼으면 적당할 거다.	約束を守る兼、ここで剣聖を修練パートナーとしていれば、適当だろう. 
결과적으로 나의 이득과 성장으로 이어지고···.	結果的に私の利得と成長につながり、・・・。 
“······.”	"・・・・・・。" 
아니.	いや 
그게 아니다.	それがない。 
이런 말을 하고 싶은 것이 아니다.	このような発言をしたいのではない。 
나는 고개를 저었다.	私は首を振った。 
“미안합니다. 다시 말하게 해주십쇼.”	"ごめんなさい。 つまりにしてください。" 
“······?”	"・・・・・・? " 
“솔직히 아무런 대가 없이 용서할 수 있습니다. 그런데.”	"率直に何の代価もなしに許すことができます。 ところで。" 
내가 입을 열었다.	私が口を開いた。 
“그럼 뭔가 쪽팔리잖아요. 꼭 내가 검성님보다 훨씬 더 대인배같이 보이고요. 전 그렇게 대단한 사람이 아닙니다. 그냥, 검성님처럼 강한 헌터가 절 적대하지 않게 되었다는 사실에 소소하게 만족해요.”	"じゃ、何か恥ずかしいじゃないですか。 ぜひ私が剣聖さんよりもっと大物の気質のように見えてです。 私はそんなにすごい人ではありません。 ただ、剣聖さまのように強いハンターが私のことを敵対しないようになったという事実にわずかに満足します。" 
“······.”	"・・・・・・。" 
“하지만 칼부림까지 오갔는데 여기서 오케이! 하고 용서하긴 쫌 쪽팔리네요. 쓸데없이 대인배마냥 행세하기도 낯부끄럽고요. 그냥 싫습니다. 그러니까 검성님이 가진 것 중에 제일 가치 있는 거. 검술이나 가르쳐주십쇼.”	"しかし、刃傷まで行き来しましたが、ここでおk! して容赦するのはちょっと恥ずかしいですね。 いたずらに対人杯のように振舞うことも恥ずかしくもです。 ただ嫌いです。 だから剣聖さんが持っているものの中で一番価値のあるの。 剣術や教えてください。" 
